full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/skills,119529,119529,13825,65,65,7,https://github.com/anthropics/skills
1rgs/claude-code-proxy,3446,3446,455,2,2,0,https://github.com/1rgs/claude-code-proxy
qwibitai/nanoclaw,27442,27442,12209,9,9,7,https://github.com/qwibitai/nanoclaw
777genius/claude-code-source-code,897,897,1121,0,0,-1,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3528,3528,599,1,1,1,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3948,3948,374,0,0,0,https://github.com/zebbern/claude-code-guide
lorryjovens-hub/claude-code-rust,1371,1371,563,2,2,2,https://github.com/lorryjovens-hub/claude-code-rust
Maciek-roboblog/Claude-Code-Usage-Monitor,7605,7605,379,2,2,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2349,2349,403,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
kodu-ai/claude-coder,5280,5280,199,0,0,0,https://github.com/kodu-ai/claude-coder
zstmfhy/Claude-code,192,192,285,0,0,0,https://github.com/zstmfhy/Claude-code
FlorianBruniaux/claude-code-ultimate-guide,3596,3596,491,7,7,2,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
fuergaosi233/claude-code-proxy,2443,2443,347,2,2,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,4299,4299,381,0,0,0,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2449,2449,339,2,2,0,https://github.com/RichardAtCT/claude-code-telegram
wanshuiyin/Auto-claude-code-research-in-sleep,6926,6926,642,6,6,0,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
sickn33/antigravity-awesome-skills,33637,33637,5583,28,28,5,https://github.com/sickn33/antigravity-awesome-skills
Windy3f3f3f3f/how-claude-code-works,1909,1909,516,0,0,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
Alishahryar1/free-claude-code,1942,1942,358,3,3,0,https://github.com/Alishahryar1/free-claude-code
Cranot/claude-code-guide,2617,2617,289,0,0,0,https://github.com/Cranot/claude-code-guide
ding113/claude-code-hub,2495,2495,283,1,1,0,https://github.com/ding113/claude-code-hub
fazxes/Claude-code,207,207,207,0,0,-1,https://github.com/fazxes/Claude-code
alejandrobalderas/claude-code-from-source,1594,1594,487,5,5,2,https://github.com/alejandrobalderas/claude-code-from-source
AprilNEA/claude-code-source,372,372,614,0,0,0,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,799,799,599,1,1,0,https://github.com/anthropics/claude-code-base-action
repowise-dev/claude-code-prompts,944,944,358,1,1,0,https://github.com/repowise-dev/claude-code-prompts
https-deeplearning-ai/sc-claude-code-files,487,487,678,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
luyao618/Claude-Code-Source-Study,1176,1176,475,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
guanshan/ClaudeCode,55,55,214,-1,-1,-1,https://github.com/guanshan/ClaudeCode
anthropics/claude-plugins-official,17184,17184,2016,7,7,3,https://github.com/anthropics/claude-plugins-official
Yeachan-Heo/oh-my-claudecode,29625,29625,2731,30,30,4,https://github.com/Yeachan-Heo/oh-my-claudecode
edmund-io/edmunds-claude-code,1401,1401,281,0,0,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3661,3661,258,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
JrCx7scC/claude-code-source,344,344,519,0,0,0,https://github.com/JrCx7scC/claude-code-source
router-for-me/CLIProxyAPI,26871,26871,4452,34,34,9,https://github.com/router-for-me/CLIProxyAPI
snarktank/ralph,17117,17117,1704,1,1,-1,https://github.com/snarktank/ralph
rohitg00/awesome-claude-code-toolkit,1313,1313,393,2,2,0,https://github.com/rohitg00/awesome-claude-code-toolkit
bfly123/claude_code_bridge,2282,2282,214,2,2,0,https://github.com/bfly123/claude_code_bridge
AICoderTudou/claude-code-tudou,485,485,389,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
wshobson/agents,33786,33786,3665,10,10,0,https://github.com/wshobson/agents
carlvellotti/claude-code-pm-course,1873,1873,292,1,1,0,https://github.com/carlvellotti/claude-code-pm-course
ghuntley/claude-code-source-code-deobfuscation,972,972,557,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3350,3350,643,4,4,0,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
luongnv89/claude-howto,27317,27317,3325,13,13,2,https://github.com/luongnv89/claude-howto
alirezarezvani/claude-skills,11582,11582,1496,16,16,5,https://github.com/alirezarezvani/claude-skills
eyaltoledano/claude-task-master,26583,26583,2483,-1,-1,-1,https://github.com/eyaltoledano/claude-task-master
andrew-kramer-inno/claude-code-source-build,573,573,507,0,0,-1,https://github.com/andrew-kramer-inno/claude-code-source-build
feiskyer/claude-code-settings,1443,1443,215,1,1,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,1025,1025,237,0,0,0,https://github.com/sugyan/claude-code-webui
Hyper66666/claude-code-sourcemap,206,206,454,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
Windy3f3f3f3f/claude-code-from-scratch,944,944,324,1,1,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
slopus/happy,18610,18610,1515,8,8,4,https://github.com/slopus/happy
darcyegb/ClaudeCodeAgents,661,661,59,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
garrytan/gstack,74792,74792,10595,107,107,26,https://github.com/garrytan/gstack
paoloanzn/free-code,7926,7926,1791,7926,7926,1791,https://github.com/paoloanzn/free-code
siteboon/claudecodeui,9943,9943,1325,5,5,0,https://github.com/siteboon/claudecodeui
centminmod/my-claude-code-setup,2209,2209,216,0,0,0,https://github.com/centminmod/my-claude-code-setup
