full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
carlvellotti/claude-code-pm-course,1824,1824,281,4,4,0,https://github.com/carlvellotti/claude-code-pm-course
rohitg00/awesome-claude-code-toolkit,1178,1178,339,1,1,1,https://github.com/rohitg00/awesome-claude-code-toolkit
feiskyer/claude-code-settings,1429,1429,212,0,0,0,https://github.com/feiskyer/claude-code-settings
luongnv89/claude-howto,24931,24931,2996,68,68,15,https://github.com/luongnv89/claude-howto
Hyper66666/claude-code-sourcemap,204,204,452,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
slopus/happy,17682,17682,1440,14,14,2,https://github.com/slopus/happy
sugyan/claude-code-webui,1007,1007,234,0,0,0,https://github.com/sugyan/claude-code-webui
siteboon/claudecodeui,9683,9683,1280,1,1,0,https://github.com/siteboon/claudecodeui
NanmiCoder/cc-haha,5771,5771,6152,3,3,7,https://github.com/NanmiCoder/cc-haha
Kuberwastaken/claurst,8897,8897,7723,3,3,3,https://github.com/Kuberwastaken/claurst
centminmod/my-claude-code-setup,2184,2184,216,0,0,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1527,1527,243,0,0,0,https://github.com/lst97/claude-code-sub-agents
